fdcNumber	conceptId	Keytype	indexTerm-en	indexTerm-de	indexTerm-sv	indexTerm-fi	indexTerm-fr	indexTerm-sl	indexTerm-sp	Match	agrovocConcept	scopeNote	fi-new-term	seÄven	USE-se	RT-se	v2016-se	altLabel-en	altLabel-de	altLabel-sv	altLabel-fi	altLabel-fr	altLabel-sl	altLabel-sp	hiddenLabel-en	hiddenLabel-de	hiddenLabel-sv	hiddenLabel-fi	hiddenLabel-fr	hiddenLabel-sl	hiddenLabel-sp
0	1	exactMatch	forestry	Forstwirtschaft	skogsbruk	metsätalous			silvicultura		c_3055																				
0	2	closeMatch	forests	Wald	skogar	metsät			bosque		c_3062																				
0--011	3	exactMatch	terminology	Forstterminologie	skogsterminilogi	metsäterminologia			terminologia forestal		c_24907							forest terminology													
0(031)	4	exactMatch	dictionaries	Forstlexicon	skogslexicon	metsäsanakirjat			diccionarios forestales		c_49852							forest dictionaries													
10	5	closeMatch	environmental factors	Standortsfaktoren	miljöförhållanden	ympäristötekijät			factores ambientales		c_2594																				
101	6	closeMatch	site	Standort	ståndort	kasvupaikka			sitio		c_331000							site studies	Standortsuntersuchungen	ståndortsundersökningar	kasvupaikkatutkimukset			estudios de sitio							
11	7	closeMatch	site factors	Lagefaktoren	lägefaktorer	sijainnin vaikutus			factores de localidad		c_7087							location factors													
11	8	exactMatch	abiotic factors	Abiotische Faktoren	abiotiska faktorer	abioottiset tekijät			factores abióticos		c_7087																				
111	9	closeMatch	atmosphere	Atmosphäre	atmosfär	ilmakehä			atmósfera 	exact	c_8994																				
111	10	closeMatch	climate	Klima	klimat	ilmasto			clima	exact	c_1665																				
111	11	closeMatch	dendroclimatology	Dendroklimatologie	dendroklimatologi	dendroklimatologia			dendroklimatologia	close	c_13339																				
111	12	closeMatch	forest climate	Forstklima	skogsklimat	metsäilmasto			clima de bosque	close	c_13339																				
111	13	closeMatch	meteorology	Meteorologie	meteorologi	meteorologia			meteorología		c_4783																				
111	14	closeMatch	microclimate	Mikroklima	mikroklimat	mikroilmasto			microclima		c_4802																				
111.0	15	closeMatch	meteorology: methods	Meteorologie: praktische Methoden	meteorologi: praktiska metoder	meteorologia, menetelmät			meteorología, métodos																						
111.0	16	closeMatch	weather forecasts	Wettervorhersäge	väderprognoser	sääennusteet			previsión meteorológica		c_8340					synoptisk meteorologi		forecasting (meteorology)	Vorhersagen (Meteorologie)	prognoser (meteorologi)	ennusteet (meteorologia)			prognósticos (meteorológia)							
111.0	17	closeMatch	meteorological instruments	Meteorologische Instrumente	meteorologiska instrument	meteorologiset laitteet			instrumentos meteorologícos		c_4779																				
111.104	18	closeMatch	atmospheric chemistry	chemie der Atmosphaere	atmosfärs kemi	ilmakehän kemia	chimie de l'atmosphère		química atmósferica		c_29545							chemical analysis (atmosphere)	chemische Analyse (Atmosphäre)	kemisk analys (atmosfär)	kemiallinen analyysi (ilmakehä)			análisis químico (atmosférico)							
111.104	19	exactMatch	chemical composition (atmosphere)	Chemische Zusammensetzung (Atmosphäre)	kemisk sammansättning (atmosfär)	kemiallinen koostumus  (ilmakehä)			composición quimica (atmósfera)																						
111.105	20	exactMatch	structure (atmosphere)	Struktur (Atmosphäre)	struktur (atmosfär)	rakenne  (ilmakehä)			estructura (atmósfera)																						
111.11	21	closeMatch	mechanics (atmosphere)	Mechanik (Atmosphäre)	mekanik (atmosfär)	mekaniikka  (ilmakehä)			mecánica (atmósfera)																						
111.11	22	closeMatch	thermodynamics (atmosphere)	Thermodynamik (Atmosphäre)	termodynamik  (atmosfär)	termodynamiikka  (ilmakehä)			termodinámica (atmósfera)																						
111.13	23	exactMatch	circulation (atmosphere)	Zirkulation ((Atmosphäre)	cirkulation  (atmosfär)	kierto  (ilmakehä)			circulación (atmósfera)																						
111.15	24	closeMatch	disturbances (atmosphere)	Störungen (Atmosphäre)	störningar (atmosfär)	häiriöt  (ilmakehä)			perturbaciones (atmósfera)																						
111.15	25	closeMatch	formations (atmosphere)	Formationen (Atmosphäre)	bildningar i (atmosfär)	muodostumat  (ilmakehä)			estados atmosféricos  (atmósfera)																						
111.15	26	closeMatch	thunderstorms	Gewitter	åskväder	ukonilma			tempestad  		c_14875																				
